ticker,sector
CSAN3F.SA,Unknown
BMMT11.SA,Unknown
PPEI11.SA,Unknown
SPUB11.SA,Unknown
MGLU3F.SA,Unknown
Y2PF34.SA,Energy
GOVE11.SA,Unknown
ALPK3F.SA,Unknown
BIWF39.SA,Unknown
VTRU3F.SA,Unknown
VIVT3.SA,Communication Services
U2ST34.SA,Technology
G1DS34.SA,Technology
BRAX11.SA,Unknown
XPLG11.SA,Unknown
T1AL34.SA,Consumer Defensive
WHRL3F.SA,Unknown
JSLG3.SA,Industrials
SBSP3F.SA,Unknown
S2EA34.SA,Consumer Cyclical
ALUP3.SA,Utilities
CMIG4F.SA,Unknown
AZPL11.SA,Unknown
N1RG34.SA,Utilities
TASA4.SA,Industrials
C1OG34.SA,Energy
C1RH34.SA,Unknown
BRAP3F.SA,Unknown
TEXA34.SA,Technology
LAND3F.SA,Unknown
PHGN34.SA,Technology
FESA4.SA,Basic Materials
BIEM39.SA,Unknown
RNEW3F.SA,Unknown
SUZB3F.SA,Unknown
ITSA3.SA,Industrials
BPAC11F.SA,Unknown
POSI3.SA,Technology
DASA3.SA,Healthcare
RFOF11.SA,Unknown
EMAE4F.SA,Unknown
ROMI3F.SA,Unknown
BILB34.SA,Financial Services
T1AM34.SA,Technology
CSED3F.SA,Unknown
VVCR11.SA,Unknown
CMIG4.SA,Utilities
CTKA4F.SA,Unknown
S1YK34.SA,Healthcare
ABCB4F.SA,Unknown
CRPG6.SA,Basic Materials
GGBR3F.SA,Unknown
LOGN3.SA,Industrials
SAPR11F.SA,Unknown
C1GP34.SA,Real Estate
BPIC39.SA,Unknown
BRST3.SA,Communication Services
S2TA34.SA,Real Estate
GGBR4.SA,Basic Materials
L2AZ34.SA,Unknown
FICT3F.SA,Unknown
CAML3.SA,Consumer Defensive
QUAL3.SA,Healthcare
TFCO4.SA,Consumer Cyclical
PLCR11.SA,Unknown
SAPI11.SA,Unknown
ETER3F.SA,Unknown
AMER3.SA,Consumer Cyclical
HYPE3.SA,Healthcare
RAPT3F.SA,Unknown
MATD3F.SA,Unknown
BBSD11.SA,Unknown
DESK3F.SA,Unknown
GGBR4F.SA,Unknown
KNRI11.SA,Financial
CLSA3F.SA,Unknown
BOXP34.SA,Real Estate
MEAL3.SA,Consumer Cyclical
ALOS3.SA,Real Estate
RPMG3F.SA,Unknown
Z1TO34.SA,Industrials
CMIG3.SA,Utilities
ISAE4.SA,Utilities
RIGG34.SA,Energy
MNPR3F.SA,Unknown
T1EV34.SA,Healthcare
FRAS3F.SA,Unknown
CXCE11.SA,Unknown
M1LM34.SA,Basic Materials
SNCI11.SA,Unknown
CRPG6F.SA,Unknown
LIGT3.SA,Utilities
WEGE3.SA,Industrials
TRNT11.SA,Unknown
PACB11.SA,Unknown
N1WL34.SA,Consumer Defensive
W1MG34.SA,Communication Services
AROA11.SA,Unknown
GOAU3F.SA,Unknown
WEST3.SA,Consumer Cyclical
WEST3F.SA,Unknown
SHPH11.SA,Financial
E1WL34.SA,Healthcare
ATED3F.SA,Unknown
A1LB34.SA,Basic Materials
TIRB11.SA,Unknown
MYPK3F.SA,Unknown
VULC3F.SA,Unknown
P2ST34.SA,Unknown
ETER3.SA,Industrials
J1EF34.SA,Financial Services
BLMG11.SA,Unknown
LVTC3.SA,Communication Services
WEGE3F.SA,Unknown
OPCT3.SA,Industrials
JBSS3.SA,Consumer Defensive
SCAR3F.SA,Unknown
EQTL3.SA,Utilities
CEBR5F.SA,Unknown
SBSP3.SA,Utilities
C1PR34.SA,Industrials
JDCO34.SA,Consumer Cyclical
ALPA4.SA,Consumer Cyclical
ITSA3F.SA,Unknown
RPRI11.SA,Unknown
BMEB3.SA,Financial Services
UNIP3.SA,Basic Materials
BITO39.SA,Unknown
PORT3F.SA,Unknown
PORT3.SA,Industrials
ORVR3.SA,Industrials
ODPV3F.SA,Unknown
SLCE3F.SA,Unknown
TGMA3F.SA,Unknown
BRCO11.SA,Unknown
PDTC3F.SA,Unknown
ABEV3.SA,Consumer Defensive
BEWA39.SA,Unknown
VILG11.SA,Financial
FIXA11.SA,Unknown
COCE5F.SA,Unknown
PICE11.SA,Unknown
JSCR11.SA,Unknown
CSUD3F.SA,Unknown
MILS3.SA,Industrials
PLPL3F.SA,Unknown
B1SA34.SA,Financial Services
ISAE4F.SA,Unknown
CLSC4.SA,Utilities
CBAV3.SA,Basic Materials
LVBI11.SA,Real Estate
MELI34.SA,Consumer Cyclical
H2UB34.SA,Technology
PVBI11.SA,Unknown
SNSY5F.SA,Unknown
TASA3F.SA,Unknown
TASA3.SA,Industrials
Q1UA34.SA,Industrials
TCSA3.SA,Real Estate
SRNA3.SA,Utilities
TAEE4.SA,Utilities
CORN11.SA,Unknown
C1NC34.SA,Healthcare
CXSE3F.SA,Unknown
C1NS34.SA,Basic Materials
ALLD3.SA,Technology
SLCE3.SA,Consumer Defensive
NEOE3.SA,Utilities
BSIL39.SA,Unknown
ALPA4F.SA,Unknown
GOLL4F.SA,Unknown
BRCR11.SA,Real Estate
IRDM11.SA,Unknown
JBSS3F.SA,Unknown
EVEN3F.SA,Unknown
INEP3F.SA,Unknown
SEER3F.SA,Unknown
KORE11.SA,Unknown
S1RE34.SA,Utilities
FCXO34.SA,Basic Materials
RVBI11.SA,Unknown
TLNC34.SA,Communication Services
MTRE3.SA,Real Estate
IB5M11.SA,Unknown
CSCO34.SA,Technology
PACG11.SA,Unknown
BPAC5F.SA,Unknown
LAND3.SA,Consumer Defensive
EQTL3F.SA,Unknown
BMIN4F.SA,Unknown
IFRA11.SA,Unknown
TASA4F.SA,Unknown
BRBI11.SA,Financial Services
TXSA34.SA,Basic Materials
Z1BR34.SA,Technology
IDKA11.SA,Unknown
CPSH11.SA,Real Estate
BIHF39.SA,Unknown
NEOE3F.SA,Unknown
KNHF11.SA,Unknown
CRFB3F.SA,Unknown
S2HO34.SA,Technology
ITUB3F.SA,Unknown
AMER3F.SA,Unknown
MYPK3.SA,Consumer Cyclical
TAEE11.SA,Utilities
SNAG11.SA,Unknown
P2LT34.SA,Technology
EQPA3F.SA,Unknown
MACY34.SA,Consumer Cyclical
B5MB11.SA,Unknown
FLRP11.SA,Unknown
NCHB11.SA,Unknown
AIEC11.SA,Unknown
ETHA39.SA,Unknown
FRAS3.SA,Consumer Cyclical
QDFI11.SA,Unknown
UNIP6F.SA,Unknown
BSOX39.SA,Unknown
LJQQ9F.SA,Unknown
PETR3.SA,Energy
SAPR11.SA,Utilities
BIHI39.SA,Unknown
HAPV3.SA,Financial Services
LEVE3.SA,Consumer Cyclical
LJQQ3.SA,Consumer Cyclical
PETR3F.SA,Unknown
DEFI11.SA,Unknown
N2TN34.SA,Unknown
TAEE4F.SA,Unknown
ENGI4.SA,Utilities
LOGG3F.SA,Unknown
TUPY3F.SA,Unknown
VGIP11.SA,Unknown
GOAU4.SA,Basic Materials
XPCA11.SA,Unknown
IMAB11.SA,Unknown
PINE3.SA,Financial Services
TSMC34.SA,Technology
EUCA4.SA,Industrials
RANI3F.SA,Unknown
R1DY34.SA,Healthcare
CAMB3.SA,Consumer Cyclical
TMCO34.SA,Consumer Cyclical
BMEB4.SA,Financial Services
CLSC4F.SA,Unknown
IMBB11.SA,Unknown
BBUG39.SA,Unknown
AXPB34.SA,Financial Services
IBCR11.SA,Unknown
OFSA3F.SA,Unknown
CPLE5F.SA,Unknown
RAPT4.SA,Industrials
EUCA3.SA,Industrials
CXSE3.SA,Financial Services
BRAP3.SA,Financial Services
GGBR3.SA,Basic Materials
ISAE3.SA,Utilities
CTSH34.SA,Technology
JPPA11.SA,Unknown
NETE34.SA,Communication Services
MOVI3.SA,Industrials
NIKE34.SA,Consumer Cyclical
DEEC34.SA,Industrials
XPID11.SA,Unknown
PTBL3F.SA,Unknown
XPML11.SA,Unknown
BDAP11.SA,Unknown
FLRY3.SA,Healthcare
MATD3.SA,Healthcare
DOTZ3F.SA,Unknown
ITRI11.SA,Unknown
EQIR11.SA,Unknown
ALZC11.SA,Unknown
AZUL4.SA,Industrials
GARE11.SA,Unknown
PRNR3F.SA,Unknown
BTRA11.SA,Unknown
EUCA4F.SA,Unknown
DEXP3F.SA,Unknown
WPLZ11.SA,Unknown
SADI11.SA,Unknown
WHRL4F.SA,Unknown
WHRL4.SA,Consumer Cyclical
PSVM11F.SA,Unknown
CEOC11.SA,Financial
CEBR5.SA,Utilities
LOGN3F.SA,Unknown
SJAU11.SA,Unknown
MXRF11.SA,Real Estate
BLUE11.SA,Unknown
SOJA3.SA,Basic Materials
A1PH34.SA,Technology
KNUQ11.SA,Unknown
CLSA3Q.SA,Unknown
HGRU11.SA,Financial
ICRI11.SA,Unknown
SNFF11.SA,Unknown
SAPR4F.SA,Unknown
HGPO11.SA,Real Estate
TRXF11.SA,Unknown
PACC11.SA,Unknown
RBRS11.SA,Unknown
TAEE3F.SA,Unknown
XFIX11.SA,Unknown
MNPR3.SA,Consumer Defensive
IRFM11.SA,Unknown
NTNS11.SA,Unknown
OFSA3.SA,Healthcare
RBVA11.SA,Financial
E1RI34.SA,Technology
P2NB34.SA,Unknown
BILF39.SA,Unknown
PATL11.SA,Unknown
DAMT11.SA,Unknown
VRTM11.SA,Unknown
B5P211.SA,Unknown
TUPY3.SA,Industrials
CPTI11.SA,Unknown
BODB11.SA,Unknown
HGLG11.SA,Real Estate
BTHF11.SA,Unknown
RIOT34.SA,Basic Materials
PULV11.SA,Unknown
BRKM6F.SA,Unknown
EKTR4.SA,Utilities
MANA11.SA,Real Estate
SNEL11.SA,Unknown
F2IC34.SA,Unknown
GOAU4F.SA,Unknown
T1WL34.SA,Technology
GOAU3.SA,Basic Materials
CPRL34.SA,Industrials
I1EX34.SA,Industrials
HGFF11.SA,Financial
CRAA11.SA,Unknown
CBEE3F.SA,Unknown
MCLO11.SA,Unknown
TAEE3.SA,Utilities
LUXM4F.SA,Unknown
ABEV3F.SA,Unknown
BLAU3F.SA,Unknown
PRIO3.SA,Energy
RBRL11.SA,Unknown
DEBB11.SA,Unknown
PQAG11.SA,Unknown
G1AR34.SA,Technology
OCRE11.SA,Unknown
WLMM4.SA,Consumer Cyclical
UNIP3F.SA,Unknown
BMIN4.SA,Financial Services
A1TH34.SA,Communication Services
RZTR11.SA,Unknown
BMIN3F.SA,Unknown
CRPG5F.SA,Unknown
CRPG5.SA,Basic Materials
LFTB11.SA,Unknown
GZIT11.SA,Unknown
ALZR11.SA,Financial
CLIN11.SA,Unknown
TAEE11F.SA,Unknown
BLMO11.SA,Unknown
AALL34.SA,Industrials
IFRI11.SA,Unknown
LASC11.SA,Unknown
ENMT3F.SA,Unknown
BRZP11.SA,Unknown
BRIP11.SA,Unknown
KNOX11.SA,Unknown
IBOV11.SA,Unknown
FZDB11.SA,Unknown
BSRE39.SA,Unknown
MOAR3F.SA,Unknown
A2SO34.SA,Unknown
BEWY39.SA,Unknown
BBVH12.SA,Unknown
CRPG3F.SA,Unknown
M2PR34.SA,Unknown
IBBP11.SA,Unknown
FNAM11.SA,Unknown
F1UN34.SA,Unknown
ASMT11.SA,Unknown
CEBR3.SA,Utilities
HDEL11.SA,Unknown
ESTR4.SA,Consumer Cyclical
BALM3F.SA,Unknown
ENMT4F.SA,Unknown
HOOT4F.SA,Unknown
AZUL2.SA,Unknown
AZEV4F.SA,Unknown
FESA4F.SA,Unknown
KNRE11.SA,Real Estate
P2CF34.SA,Unknown
ENDD11.SA,Unknown
BEEM39.SA,Unknown
I2TC34.SA,Healthcare
AGXY3.SA,Basic Materials
TRXY11.SA,Unknown
PATC11.SA,Financial
URHF11.SA,Unknown
ANCR11.SA,Unknown
ZAVC11.SA,Unknown
V1IP34.SA,Consumer Cyclical
RCFF11.SA,Unknown
SNME11.SA,Unknown
D2KS34.SA,Unknown
Q2SC34.SA,Unknown
O2NS34.SA,Unknown
APXR11.SA,Unknown
GCDL11.SA,Unknown
FMOF11.SA,Financial
TGAR11.SA,Unknown
MCEM11.SA,Unknown
VSLH11.SA,Unknown
B1BW34.SA,Consumer Cyclical
A1CR34.SA,Consumer Cyclical
I1FO34.SA,Technology
T1FX34.SA,Healthcare
DDNB34.SA,Basic Materials
I1VZ34.SA,Financial Services
NEXP3.SA,Real Estate
SAPR4.SA,Utilities
H1FC34.SA,Energy
FIQE3.SA,Communication Services
CLXC34.SA,Consumer Defensive
N1BI34.SA,Healthcare
CGRA3.SA,Consumer Cyclical
O1KE34.SA,Energy
I1RM34.SA,Real Estate
I1FF34.SA,Basic Materials
WUNI34.SA,Financial Services
T1EC34.SA,Energy
